Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2017-10-13 15:53:08.642144,4204.15151473,0,4141.8181814,0,4191.78787837,0,4197.96969655,0,4167.06060564,0,4158.30302989,0,4170.66666625,0,4191.27272685,0,4116.57575716,0,4203.63636322,0,4138.72727231,0,4160.36363595,0,4125.84848444,0,4225.27272685,0,42.0,42.0,?
2017-10-13 15:53:08.643100,4157.78787837,0,4127.9090905,0,4024.87878748,0,4165.5151511,0,4154.18181777,0,4152.63636322,0,4155.2121208,0,4156.24242383,0,4158.30302989,564.60606055,4112.45454504,0,4125.33333292,0,4106.78787838,0,4111.93939353,0,4140.78787837,0,42.0,42.0,?
2017-10-13 15:53:08.644114,4159.84848443,0,4141.8181814,0,4041.87878747,0,4181.99999958,0,4165.5151511,0,4163.45454504,0,4155.72727231,0,4160.36363595,0,4186.1212117,564.60606055,4116.57575716,1722.66666649,4125.84848444,0,4105.24242383,0,4110.9090905,0,4144.39393898,0,42.0,42.0,?
2017-10-13 15:53:08.645108,4154.18181777,0,4144.39393898,0,4034.15151475,0,4172.72727231,0,4158.30302989,0,4158.8181814,0,4153.66666625,0,4152.12121171,0,4171.69696928,564.60606055,4107.81818141,1722.66666649,4125.33333292,1454.78787864,4099.06060565,0,4119.66666625,0,4141.30302989,0,42.0,42.0,?
2017-10-13 15:53:08.646430,4152.12121171,0,4135.12121171,0,4021.27272687,0,4164.48484807,0,4152.63636322,0,4154.69696928,0,4152.63636322,0,4153.15151474,0,4161.90909049,564.60606055,4108.33333292,1722.66666649,4126.87878747,1454.78787864,4099.57575717,1042.66666656,4125.84848444,0,4141.30302989,0,42.0,42.0,?
2017-10-13 15:53:08.647136,4156.24242383,0,4139.75757534,0,4027.96969657,0,4168.09090867,0,4159.84848443,0,4155.2121208,0,4153.15151474,0,4157.27272686,0,4170.66666625,564.60606055,4111.93939353,1722.66666649,4127.9090905,1454.78787864,4101.63636323,1042.66666656,4116.57575716,1574.30303015,4144.39393898,0,42.0,42.0,?
2017-10-13 15:53:08.648101,4158.30302989,0,4148.5151511,0,4035.69696929,0,4171.18181776,0,4160.87878746,0,4157.78787837,0,4153.66666625,0,4149.54545413,0,4168.60606019,564.60606055,4101.12121171,1726.78787862,4128.42424201,1454.78787864,4099.57575717,1042.66666656,4110.39393898,1574.30303015,4143.36363595,0,42.0,42.0,?
2017-10-13 15:53:08.649739,4155.2121208,0,4132.54545413,0,4030.03030263,0,4168.60606019,0,4151.60606019,0,4160.87878746,0,4153.15151474,0,4137.18181777,0,4154.69696928,564.60606055,4094.42424201,1726.78787862,4124.81818141,1454.78787864,4096.48484808,1042.66666656,4112.96969656,1574.30303015,4138.2121208,0,42.0,42.0,?
2017-10-13 15:53:08.650327,4146.96969656,0,4119.66666625,0,4021.27272687,0,4151.60606019,0,4144.90909049,0,4156.24242383,0,4152.63636322,0,4133.57575716,0,4138.72727231,564.60606055,4097.51515111,1726.78787862,4115.54545413,1454.78787864,4091.84848444,1038.54545444,4109.36363595,1574.30303015,4135.63636322,0,42.0,42.0,?
2017-10-13 15:53:08.651121,4146.96969656,0,4134.09090868,0,4021.78787839,0,4146.96969656,0,4151.09090868,0,4154.69696928,0,4153.66666625,0,4147.99999959,0,4148.5151511,564.60606055,4105.75757535,1726.78787862,4122.75757535,1454.78787864,4099.06060565,1038.54545444,4107.30302989,1574.30303015,4139.75757534,0,42.0,42.0,?
