Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2017-10-13 14:10:56.054400,3128.5151512,0,4116.06060565,0,4147.48484807,0,4211.87878746,0,3986.24242384,0,4203.63636322,0,4082.06060565,0,4196.424242,0,4352.51515108,0,3822.93939356,0,3938.84848445,0,827.333333251,0,4159.84848443,0,4231.45454503,0,42.0,42.0,?
2017-10-13 14:10:56.055359,4814.09090861,0,4168.09090867,3399.99999966,4114.5151511,0,4119.15151474,0,4176.33333292,0,4142.33333292,0,4185.09090867,0,4151.60606019,0,4173.24242383,0,4139.75757534,0,4137.18181777,0,4158.8181814,0,4124.81818141,0,4197.96969655,0,42.0,42.0,?
2017-10-13 14:10:56.056358,5003.66666617,0,4176.84848443,3399.99999966,4103.69696929,0,4099.57575717,0,4167.06060564,0,4131.5151511,0,4183.54545413,0,4154.18181777,0,4159.33333292,0,4136.66666625,0,4137.18181777,0,4159.33333292,0,4120.69696928,0,4196.93939352,1186.90909079,42.0,42.0,?
2017-10-13 14:10:56.057358,5051.06060556,0,4145.42424201,3399.99999966,4111.42424201,1170.42424231,4125.33333292,0,4161.39393898,0,4127.39393898,0,4173.75757534,0,4139.75757534,0,4145.42424201,0,4138.2121208,0,4138.72727231,0,4154.18181777,0,4124.81818141,0,4190.24242382,1186.90909079,42.0,42.0,?
2017-10-13 14:10:56.059035,4966.06060556,0,4135.63636322,3399.99999966,4121.72727232,1170.42424231,4125.33333292,869.575757489,4177.36363595,0,4141.30302989,0,4183.54545413,0,4154.18181777,0,4171.18181776,0,4164.99999958,0,4159.84848443,0,4174.78787837,0,4144.90909049,0,4192.8181814,1186.90909079,42.0,42.0,?
2017-10-13 14:10:56.059686,4850.66666618,0,4173.24242383,3399.99999966,4112.45454504,1170.42424231,4089.27272686,869.575757489,4185.09090867,494.545454496,4145.93939352,0,4188.69696928,0,4164.48484807,0,4175.8181814,0,4175.8181814,0,4172.21212079,0,4189.72727231,0,4149.54545413,0,4194.36363594,1186.90909079,42.0,42.0,?
2017-10-13 14:10:56.060540,4850.66666618,0,4180.96969655,3399.99999966,4103.18181777,1170.42424231,4095.45454505,869.575757489,4164.48484807,494.545454496,4130.48484807,1442.42424228,4178.39393898,0,4148.5151511,0,4153.66666625,0,4152.63636322,0,4155.2121208,0,4173.75757534,0,4135.63636322,0,4186.1212117,1186.90909079,42.0,42.0,?
2017-10-13 14:10:56.061350,4877.96969648,0,4150.06060565,3399.99999966,4107.30302989,1170.42424231,4117.60606019,869.575757489,4150.57575716,494.545454496,4119.66666625,1442.42424228,4181.99999958,1817.45454527,4156.75757534,0,4161.90909049,0,4152.63636322,0,4147.99999959,0,4171.18181776,0,4139.24242383,0,4181.99999958,1186.90909079,42.0,42.0,?
2017-10-13 14:10:56.062345,4804.30302982,0,4121.72727232,3399.99999966,4098.54545414,1170.42424231,4075.36363596,869.575757489,4146.96969656,494.545454496,4098.54545414,1442.42424228,4178.39393898,1817.45454527,4138.72727231,1566.0606059,4156.24242383,0,4146.45454504,0,4130.99999959,0,4163.45454504,0,4124.81818141,0,4173.75757534,1186.90909079,42.0,42.0,?
2017-10-13 14:10:56.063358,4777.51515104,0,4105.75757535,3399.99999966,4077.42424202,1170.42424231,4033.12121172,869.575757489,4130.48484807,494.545454496,4069.18181777,1442.42424228,4160.87878746,1817.45454527,4075.87878747,1566.0606059,4111.42424201,3853.33333295,4097.51515111,0,4086.18181777,0,4114.5151511,0,4075.87878747,0,4153.15151474,1186.90909079,42.0,42.0,?
2017-10-13 14:10:56.067354,4708.99999953,0,4113.48484807,3399.99999966,4078.96969656,1170.42424231,4060.42424202,869.575757489,4122.24242383,494.545454496,4062.48484808,1442.42424228,4163.96969655,1817.45454527,4059.39393899,1566.0606059,4106.27272686,3853.33333295,4073.81818141,1541.33333318,4072.78787838,0,4087.2121208,0,4059.39393899,0,4147.99999959,1186.90909079,42.0,42.0,?
2017-10-13 14:10:56.076382,4585.36363591,0,4132.03030262,3399.99999966,4093.39393898,1170.42424231,4092.87878747,869.575757489,4125.33333292,494.545454496,4064.03030262,1442.42424228,4173.24242383,1817.45454527,4082.57575717,1566.0606059,4134.60606019,3853.33333295,4098.03030262,1541.33333318,4094.42424201,1059.15151505,4119.66666625,0,4079.48484808,0,4158.8181814,1186.90909079,42.0,42.0,?
2017-10-13 14:10:56.083380,4553.42424197,0,4126.36363595,3399.99999966,4087.2121208,1170.42424231,4060.42424202,869.575757489,4117.60606019,494.545454496,4062.48484808,1442.42424228,4169.1212117,1817.45454527,4085.15151474,1566.0606059,4130.99999959,3853.33333295,4107.81818141,1541.33333318,4092.36363595,1059.15151505,4147.99999959,832.484848402,4082.57575717,0,4155.2121208,1186.90909079,42.0,42.0,?
2017-10-13 14:10:56.091375,4597.72727227,0,4104.72727232,3399.99999966,4081.54545414,1170.42424231,4042.9090905,869.575757489,4114.5151511,494.545454496,4067.12121171,1442.42424228,4169.63636322,1817.45454527,4076.9090905,1566.0606059,4115.54545413,3853.33333295,4086.69696929,1541.33333318,4071.24242384,1059.15151505,4132.03030262,832.484848402,4066.09090868,1083.87878777,4145.42424201,1186.90909079,42.0,42.0,?
2017-10-13 14:10:56.099365,4764.12121164,0,4101.12121171,3399.99999966,4092.87878747,1170.42424231,4117.60606019,869.575757489,4110.39393898,494.545454496,4066.6060602,1442.42424228,4172.21212079,1817.45454527,4074.84848444,1566.0606059,4113.48484807,3853.33333295,4070.21212081,1541.33333318,4068.66666626,1059.15151505,4111.42424201,832.484848402,4062.99999959,1083.87878777,4145.93939352,1186.90909079,42.0,42.0,?
2017-10-13 14:10:56.107355,4836.75757527,0,4109.87878747,3399.99999966,4103.69696929,1170.42424231,4122.24242383,869.575757489,4107.81818141,494.545454496,4065.57575717,1442.42424228,4170.66666625,1817.45454527,4080.51515111,1566.0606059,4110.9090905,3853.33333295,4076.39393899,1541.33333318,4081.54545414,1055.03030292,4119.15151474,832.484848402,4074.84848444,1083.87878777,4150.06060565,1186.90909079,42.0,42.0,?
2017-10-13 14:10:56.115371,4637.39393893,0,4119.66666625,3399.99999966,4101.63636323,1170.42424231,4017.66666626,869.575757489,4115.54545413,494.545454496,4071.24242384,1442.42424228,4170.15151473,1817.45454527,4082.06060565,1566.0606059,4108.33333292,3853.33333295,4084.63636323,1541.33333318,4083.09090868,1055.03030292,4129.96969656,836.606060522,4071.75757535,1083.87878777,4151.60606019,1186.90909079,42.0,42.0,?
2017-10-13 14:10:56.123374,4464.30302986,0,4120.18181777,3399.99999966,4092.87878747,1170.42424231,4016.63636323,869.575757489,4110.9090905,494.545454496,4067.63636323,1442.42424228,4169.1212117,1817.45454527,4069.18181777,1566.0606059,4106.78787838,3853.33333295,4073.81818141,1541.33333318,4070.21212081,1055.03030292,4121.2121208,836.606060522,4059.39393899,1083.87878777,4145.93939352,1186.90909079,42.0,42.0,?
2017-10-13 14:10:56.131363,4612.15151469,0,4110.9090905,3399.99999966,4101.63636323,1170.42424231,4080.51515111,869.575757489,4109.87878747,494.545454496,4074.33333293,1442.42424228,4170.66666625,1817.45454527,4085.15151474,1566.0606059,4116.06060565,3853.33333295,4081.54545414,1541.33333318,4081.03030262,1055.03030292,4130.99999959,836.606060522,4076.39393899,1083.87878777,4147.48484807,1186.90909079,42.0,42.0,?
2017-10-13 14:10:56.139352,4654.39393893,0,4113.99999959,3399.99999966,4115.54545413,1170.42424231,4047.03030263,869.575757489,4119.66666625,494.545454496,4082.57575717,1442.42424228,4172.72727231,1817.45454527,4104.72727232,1566.0606059,4132.03030262,3853.33333295,4091.84848444,1541.33333318,4088.75757535,1055.03030292,4140.78787837,836.606060522,4084.63636323,1083.87878777,4153.66666625,1186.90909079,42.0,42.0,?
2017-10-13 14:10:56.147359,4395.78787835,0,4120.69696928,3399.99999966,4113.48484807,1170.42424231,4034.66666626,869.575757489,4107.81818141,494.545454496,4067.12121171,1442.42424228,4170.15151473,1817.45454527,4084.63636323,1566.0606059,4117.60606019,3853.33333295,4074.84848444,1541.33333318,4071.75757535,1055.03030292,4114.5151511,836.606060522,4065.06060565,1083.87878777,4151.60606019,1186.90909079,42.0,42.0,?
2017-10-13 14:10:56.155050,4373.6363632,0,4119.15151474,3399.99999966,4112.45454504,1170.42424231,4084.63636323,869.575757489,4093.39393898,494.545454496,4062.48484808,1442.42424228,4169.1212117,1817.45454527,4077.42424202,1566.0606059,4104.2121208,3853.33333295,4077.93939353,1541.33333318,4079.48484808,1055.03030292,4108.33333292,836.606060522,4075.87878747,1083.87878777,4152.12121171,1186.90909079,42.0,42.0,?
