Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2017-10-13 14:07:39.796738,3699.81818145,0,4134.09090868,0,4197.96969655,0,4122.75757535,0,4156.24242383,0,4129.96969656,0,4151.09090868,0,4132.54545413,0,4121.72727232,0,4092.36363595,0,4126.36363595,0,4124.30302989,0,4099.57575717,0,4157.78787837,0,42.0,42.0,?
2017-10-13 14:07:39.797376,4083.6060602,0,4088.75757535,0,4084.63636323,0,4075.36363596,0,4086.18181777,0,4078.96969656,0,4100.09090868,0,4066.6060602,0,4037.75757535,0,4042.9090905,0,4061.96969656,0,4049.09090869,0,4100.6060602,0,4067.63636323,0,42.0,42.0,?
2017-10-13 14:07:39.798477,4074.33333293,0,4074.84848444,0,4083.6060602,0,4085.66666626,0,4084.12121171,0,4081.03030262,0,4100.09090868,0,4066.6060602,0,4031.06060566,0,4032.6060602,0,4048.06060566,0,4034.66666626,0,4074.84848444,0,4060.42424202,0,42.0,42.0,?
2017-10-13 14:07:39.799355,3710.63636327,0,4069.69696929,0,4090.81818141,0,4091.84848444,0,4080.51515111,0,4079.99999959,0,4105.24242383,0,4094.93939353,0,4036.21212081,0,4045.9999996,0,4046.51515111,0,4036.21212081,0,4076.39393899,0,4060.93939353,0,42.0,42.0,?
2017-10-13 14:07:39.800430,3862.0909087,0,4085.15151474,0,4098.03030262,0,4086.18181777,0,4088.24242383,0,4076.39393899,0,4107.81818141,0,4078.96969656,0,4057.84848444,0,4061.96969656,0,4050.12121172,0,4048.06060566,0,4089.78787838,0,4067.63636323,0,42.0,42.0,?
2017-10-13 14:07:39.801417,4234.03030261,0,4100.6060602,0,4097.51515111,0,4072.27272687,0,4093.9090905,0,4083.6060602,0,4109.36363595,0,4065.57575717,0,4045.9999996,0,4071.24242384,0,4067.12121171,0,4065.06060565,0,4100.09090868,0,4074.33333293,0,42.0,42.0,?
2017-10-13 14:07:39.802445,4133.06060565,0,4094.42424201,0,4089.27272686,0,4066.09090868,0,4085.15151474,0,4081.54545414,0,4109.36363595,0,4093.39393898,0,4022.81818142,0,4059.9090905,0,4067.63636323,0,4064.54545414,0,4100.09090868,0,4072.78787838,0,42.0,42.0,?
2017-10-13 14:07:39.803528,3926.48484809,0,4079.99999959,0,4086.69696929,0,4076.39393899,0,4085.15151474,0,4067.63636323,0,4107.81818141,0,4087.72727232,0,4037.75757535,0,4044.96969657,0,4047.54545414,0,4045.9999996,0,4089.78787838,0,4068.15151474,0,42.0,42.0,?
2017-10-13 14:07:39.804755,3979.54545415,0,4076.39393899,0,4095.96969656,0,4094.42424201,0,4094.93939353,0,4075.36363596,0,4108.84848444,0,4068.15151474,0,4067.12121171,0,4063.51515111,0,4053.72727232,0,4053.21212081,0,4094.42424201,0,4069.18181777,0,42.0,42.0,?
2017-10-13 14:07:39.805483,4036.21212081,0,4079.48484808,0,4093.39393898,0,4098.03030262,0,4079.99999959,0,4077.42424202,0,4104.72727232,0,4088.24242383,0,4045.9999996,0,4075.36363596,0,4067.63636323,0,4068.66666626,0,4100.09090868,0,4070.21212081,0,42.0,42.0,?
2017-10-13 14:07:39.810793,3877.03030264,0,4084.12121171,0,4078.45454505,0,4066.6060602,0,4068.66666626,0,4064.03030262,0,4102.66666626,0,4099.06060565,0,4020.75757536,0,4058.36363596,0,4064.03030262,0,4062.48484808,0,4098.03030262,0,4068.66666626,0,42.0,42.0,?
2017-10-13 14:07:39.819066,3530.33333298,3490.66666632,4085.15151474,0,4077.42424202,0,4055.27272687,0,4090.81818141,0,4079.48484808,0,4105.75757535,0,4073.81818141,0,4050.63636323,0,4056.81818141,0,4067.12121171,0,4061.96969656,0,4106.27272686,0,4069.18181777,0,42.0,42.0,?
2017-10-13 14:07:39.826372,3335.09090876,3490.66666632,4074.33333293,3420.60606026,4088.75757535,0,4086.69696929,0,4095.45454505,0,4093.39393898,0,4102.15151474,0,4067.63636323,0,4065.57575717,0,4062.99999959,0,4072.27272687,0,4071.24242384,0,4111.42424201,0,4072.27272687,0,42.0,42.0,?
2017-10-13 14:07:39.834363,3640.57575721,3490.66666632,4069.69696929,3420.60606026,4092.87878747,0,4090.30302989,0,4082.06060565,0,4076.39393899,0,4101.12121171,0,4092.87878747,0,4046.51515111,0,4062.99999959,0,4069.69696929,0,4079.48484808,0,4101.63636323,0,4071.24242384,1355.87878774,42.0,42.0,?
2017-10-13 14:07:39.842371,4021.27272687,3490.66666632,4087.2121208,3420.60606026,4089.27272686,1842.181818,4071.75757535,0,4086.18181777,0,4071.24242384,0,4107.30302989,0,4093.9090905,0,4040.84848444,0,4070.21212081,0,4071.75757535,0,4084.12121171,0,4096.99999959,0,4068.15151474,1355.87878774,42.0,42.0,?
2017-10-13 14:07:39.850610,4091.84848444,3490.66666632,4087.2121208,3420.60606026,4084.63636323,1842.181818,4085.15151474,482.181818134,4090.81818141,0,4082.57575717,0,4104.72727232,0,4076.9090905,0,4036.21212081,0,4065.06060565,0,4064.03030262,0,4078.45454505,0,4094.42424201,0,4063.51515111,1355.87878774,42.0,42.0,?
